key,verdict,screens,note
appName,proven-fits,signin.screen signin.backedOutQuick signin.backedOutSlow signin.neverOpened signin.addAccountAbandoned signin.reauthFailed signin.activityClosed signin.noProvider signin.selectorStripped,
appTagline,slot-measured,,not pump-reachable; measured against its real slot width
applied,slot-measured,,not pump-reachable; measured against its real slot width
appliedLiveFallback,slot-measured,,not pump-reachable; measured against its real slot width
apply,proven-fits,ringtones.screen ringtones.screen.locked apply.sheet,headroom warning (<3% spare)
applyTargetBoth,proven-fits,apply.sheet,
applyTargetHome,proven-fits,apply.sheet,
applyTargetLock,proven-fits,apply.sheet,
applyTargetTitle,proven-fits,apply.sheet,
cancel,proven-fits,settings.confirm_logout settings.confirm_delete settings.confirm_delete_premium,
categoryAll,proven-fits,feed.chips ringtones.screen ringtones.screen.locked,
earn,proven-fits,ringtones.screen ringtones.screen.locked,
errorGeneric,slot-measured,,not pump-reachable; measured against its real slot width
errorGenericRetry,slot-measured,,not pump-reachable; measured against its real slot width
feedBrowseAll,proven-fits,feed.empty,
feedEmptyBody,proven-fits,feed.empty,
feedEmptyTitle,proven-fits,feed.empty,
feedErrorBody,proven-fits,feed.error ringtones.error,
feedErrorTitle,proven-fits,feed.error,
feedLiveBadge,slot-measured,,not pump-reachable; measured against its real slot width
offlineBody,slot-measured,,not pump-reachable; measured against its real slot width
offlineFeedBody,proven-fits,feed.offline,
offlineTitle,proven-fits,feed.offline,
premiumBenefitApply,slot-measured,,not pump-reachable; measured against its real slot width
premiumBenefitLive,slot-measured,,not pump-reachable; measured against its real slot width
premiumBenefitNew,slot-measured,,not pump-reachable; measured against its real slot width
premiumBenefitShare,slot-measured,,not pump-reachable; measured against its real slot width
premiumCelebrateBody,slot-measured,,not pump-reachable; measured against its real slot width
premiumCelebrateTitle,slot-measured,,not pump-reachable; measured against its real slot width
premiumComingSoon,slot-measured,,not pump-reachable; measured against its real slot width
premiumComingSoonToast,slot-measured,,not pump-reachable; measured against its real slot width
premiumCta,proven-fits,feed.trial_nudge,
premiumCtaPaid,slot-measured,,not pump-reachable; measured against its real slot width
premiumCtaSubscribe,slot-measured,,not pump-reachable; measured against its real slot width
premiumCtaTrial,proven-fits,feed.trial_nudge,
premiumEyebrow,slot-measured,,not pump-reachable; measured against its real slot width
premiumFeatureDaily,slot-measured,,not pump-reachable; measured against its real slot width
premiumFeatureRingtones,slot-measured,,not pump-reachable; measured against its real slot width
premiumFeatureWallpapers,slot-measured,,not pump-reachable; measured against its real slot width
premiumFootnotePaid,slot-measured,,not pump-reachable; measured against its real slot width
premiumFootnoteTrial,slot-measured,,not pump-reachable; measured against its real slot width
premiumHeadline,slot-measured,,not pump-reachable; measured against its real slot width
premiumKeepBrowsing,slot-measured,,not pump-reachable; measured against its real slot width
premiumNavTitle,slot-measured,,not pump-reachable; measured against its real slot width
premiumPaidFinePrint,slot-measured,,not pump-reachable; measured against its real slot width
premiumPerMonth,slot-measured,,not pump-reachable; measured against its real slot width
premiumPerMonthCaption,slot-measured,,not pump-reachable; measured against its real slot width
premiumPerkApplyShare,slot-measured,,not pump-reachable; measured against its real slot width
premiumPerkEvery,slot-measured,,not pump-reachable; measured against its real slot width
premiumPerkNew,slot-measured,,not pump-reachable; measured against its real slot width
premiumPlanNote,slot-measured,,not pump-reachable; measured against its real slot width
premiumPrice,slot-measured,,not pump-reachable; measured against its real slot width
premiumQrCheck,slot-measured,,not pump-reachable; measured against its real slot width
premiumQrExpiresIn,slot-measured,,not pump-reachable; measured against its real slot width
premiumQrInstruction,slot-measured,,not pump-reachable; measured against its real slot width
premiumQrTitlePaid,slot-measured,,not pump-reachable; measured against its real slot width
premiumQrTitleTrial,slot-measured,,not pump-reachable; measured against its real slot width
premiumQrWaiting,slot-measured,,not pump-reachable; measured against its real slot width
premiumReassurancePaid,slot-measured,,not pump-reachable; measured against its real slot width
premiumReassuranceTrial,slot-measured,,not pump-reachable; measured against its real slot width
premiumRefundedBadge,slot-measured,,not pump-reachable; measured against its real slot width
premiumResumeCta,slot-measured,,not pump-reachable; measured against its real slot width
premiumResumeHintPaid,slot-measured,,not pump-reachable; measured against its real slot width
premiumResumeHintTrial,slot-measured,,not pump-reachable; measured against its real slot width
premiumScreenSubline,slot-measured,,not pump-reachable; measured against its real slot width
premiumSelectedUpiApp,slot-measured,,not pump-reachable; measured against its real slot width
premiumSheetPitch,slot-measured,,not pump-reachable; measured against its real slot width
premiumSocialProof,slot-measured,,not pump-reachable; measured against its real slot width
premiumSub,slot-measured,,not pump-reachable; measured against its real slot width
premiumTagline,slot-measured,,not pump-reachable; measured against its real slot width
premiumTitle,slot-measured,,not pump-reachable; measured against its real slot width
premiumTrialFinePrint,slot-measured,,not pump-reachable; measured against its real slot width
premiumTrialLeadPrefix,slot-measured,,not pump-reachable; measured against its real slot width
premiumTrialNote,slot-measured,,not pump-reachable; measured against its real slot width
premiumTrialPill,slot-measured,,not pump-reachable; measured against its real slot width
premiumUpiAppGeneric,slot-measured,,not pump-reachable; measured against its real slot width
premiumWelcomeToast,slot-measured,,not pump-reachable; measured against its real slot width
purchaseActivateFailed,slot-measured,,not pump-reachable; measured against its real slot width
purchaseCancelled,slot-measured,,not pump-reachable; measured against its real slot width
